product_id,product_name,category,brand,list_price,cost_price
5001,Fashion_Product_5001,Fashion,Zentra,2158.31,1327.48
5002,Electronics_Product_5002,Electronics,Aster,774.48,528.66
5003,Grocery_Product_5003,Grocery,Zentra,845.6,520.61
5004,Books_Product_5004,Books,UrbanKart,99.0,67.93
5005,Mobile Accessories_Product_5005,Mobile Accessories,DailyPro,584.21,407.1
5006,Sports_Product_5006,Sports,Omni,2574.88,1722.12
5007,Toys_Product_5007,Toys,UrbanKart,1415.92,1041.19
5008,Footwear_Product_5008,Footwear,PrimeOne,3533.56,2438.15
5009,Toys_Product_5009,Toys,Nova,1175.37,710.45
5010,Home & Kitchen_Product_5010,Home & Kitchen,Nova,4326.48,3357.1
5011,Grocery_Product_5011,Grocery,Omni,412.31,273.61
5012,Mobile Accessories_Product_5012,Mobile Accessories,Aster,1155.19,644.19
5013,Home & Kitchen_Product_5013,Home & Kitchen,Omni,3348.92,1985.02
5014,Electronics_Product_5014,Electronics,DailyPro,13831.62,9782.46
5015,Sports_Product_5015,Sports,Omni,2648.73,1528.99
5016,Toys_Product_5016,Toys,Zentra,1241.0,797.37
5017,Books_Product_5017,Books,PrimeOne,676.21,405.37
5018,Home & Kitchen_Product_5018,Home & Kitchen,UrbanKart,6084.09,4045.98
5019,Fashion_Product_5019,Fashion,Aster,1437.41,799.35
5020,Beauty_Product_5020,Beauty,Nova,138.38,80.39
5021,Toys_Product_5021,Toys,Omni,1897.7,1426.72
5022,Beauty_Product_5022,Beauty,Omni,1219.96,708.43
5023,Books_Product_5023,Books,Nova,619.76,393.43
5024,Beauty_Product_5024,Beauty,Zentra,971.46,578.72
5025,Home & Kitchen_Product_5025,Home & Kitchen,DailyPro,4719.68,2605.68
5026,Toys_Product_5026,Toys,Zentra,902.06,507.3
5027,Beauty_Product_5027,Beauty,BluePeak,1146.78,839.3
5028,Toys_Product_5028,Toys,PrimeOne,952.72,681.29
5029,Toys_Product_5029,Toys,Omni,2059.57,1343.55
5030,Toys_Product_5030,Toys,Aster,967.31,731.28
5031,Mobile Accessories_Product_5031,Mobile Accessories,Omni,431.08,252.07
5032,Toys_Product_5032,Toys,Zentra,1498.76,848.09
